type,x,y
path,34.0,-17.0
path,60.0,-21.0
path,27.0,-4.0
path,51.0,-13.0
path,54.0,-20.0
path,3.0,-8.0
path,14.0,-14.0
path,25.0,-14.0
path,10.0,0.0
path,21.0,-7.0
path,25.0,-15.0
path,3.0,-8.0
path,13.0,-15.0
path,23.0,-15.0
path,10.0,0.0
path,34.0,-16.0
path,53.0,-35.0
path,32.0,-33.0
path,70.0,-46.0
path,70.0,-25.0
path,0.0,6.0
path,-7.0,10.0
path,-15.0,10.0
path,-9.0,0.0
path,-15.0,9.0
path,-15.0,23.0
path,0.0,20.0
path,-4.0,23.0
path,-30.0,19.0
path,-23.0,-3.0
path,-30.0,0.0
path,-30.0,12.0
path,0.0,10.0
path,-9.0,16.0
path,-24.0,16.0
path,-15.0,0.0
path,-26.0,7.0
path,-29.0,20.0
path,-3.0,13.0
path,-11.0,18.0
path,-20.0,14.0
path,-8.0,-3.0
path,-21.0,1.0
path,-28.0,8.0
path,-8.0,8.0
path,-22.0,17.0
path,-32.0,21.0
path,-11.0,4.0
path,-21.0,15.0
path,-24.0,25.0
path,-3.0,13.0
path,-17.0,18.0
path,-65.0,20.0
path,-37.0,1.0
path,-65.0,8.0
path,-72.0,16.0
path,-15.0,19.0
path,-70.0,28.0
path,-84.0,14.0
path,-15.0,-15.0
path,-24.0,-6.0
path,-16.0,16.0
path,3.0,9.0
path,16.0,16.0
path,28.0,16.0
path,30.0,0.0
path,88.0,-18.0
path,95.0,-29.0
path,7.0,-11.0
path,72.0,-17.0
path,88.0,-8.0
path,17.0,11.0
path,43.0,-3.0
path,43.0,-23.0
path,0.0,-11.0
path,10.0,-20.0
path,25.0,-24.0
path,14.0,-4.0
path,25.0,-11.0
path,25.0,-16.0
path,0.0,-6.0
path,12.0,-10.0
path,26.0,-10.0
path,17.0,0.0
path,28.0,-6.0
path,31.0,-20.0
path,3.0,-13.0
path,14.0,-20.0
path,29.0,-20.0
path,16.0,0.0
path,24.0,-6.0
path,24.0,-17.0
path,1.0,-17.0
path,1.0,-17.0
path,14.0,0.0
path,19.0,25.0
path,46.0,11.0
path,46.0,-23.0
path,0.0,-20.0
path,6.0,-31.0
path,20.0,-35.0
path,11.0,-3.0
path,20.0,-11.0
path,20.0,-16.0
path,0.0,-5.0
path,11.0,-14.0
path,25.0,-19.0
path,14.0,-5.0
path,25.0,-16.0
path,25.0,-24.0
path,0.0,-7.0
path,12.0,-17.0
path,26.0,-20.0
path,16.0,-4.0
path,24.0,-12.0
path,21.0,-20.0
path,-3.0,-8.0
path,10.0,-20.0
path,33.0,-30.0
path,22.0,-10.0
path,48.0,-32.0
path,60.0,-51.0
path,12.0,-19.0
path,26.0,-35.0
path,31.0,-35.0
path,17.0,0.0
path,9.0,-29.0
path,-11.0,-40.0
path,-33.0,-18.0
path,-48.0,-67.0
path,-37.0,-122.0
path,8.0,-42.0
