[path]
  (3367.00, -2060.00)
  (3344.00, -2062.00)
  (3333.00, -2072.00)
  (3341.00, -2077.00)
  (3421.00, -2087.00)
  (3580.00, -2097.00)
  (3723.00, -2097.00)
  (3866.00, -2097.00)
  (4003.00, -2075.00)
  (4000.00, -2062.00)
  (3994.00, -2036.00)
  (3988.00, -2007.00)
  (3988.00, -1991.00)
  (3922.00, -1975.00)
  (3839.00, -1974.00)
  (3826.00, -1986.00)
  (3806.00, -1999.00)
  (3777.00, -2003.00)
  (3759.00, -1985.00)
  (3763.00, -1951.00)
  (3816.00, -1913.00)
  (3872.00, -1909.00)
  (3949.00, -1918.00)
  (4034.00, -1969.00)
  (4040.00, -2001.00)
  (4049.00, -2036.00)
  (4089.00, -2071.00)
  (4112.00, -2071.00)
  (4146.00, -2066.00)
  (4180.00, -2052.00)
  (4180.00, -2044.00)
  (4196.00, -2002.00)
  (4231.00, -1927.00)
  (4250.00, -1895.00)
  (4285.00, -1831.00)
  (4320.00, -1761.00)
  (4320.00, -1755.00)
  (4332.00, -1741.00)
  (4360.00, -1724.00)
  (4375.00, -1720.00)
  (4416.00, -1702.00)
  (4474.00, -1671.00)
  (4514.00, -1641.00)
  (4570.00, -1617.00)
  (4686.00, -1657.00)
  (4744.00, -1719.00)
  (4810.00, -1813.00)
  (4843.00, -1937.00)
  (4803.00, -1973.00)
  (4772.00, -2016.00)
  (4822.00, -2059.00)
  (4882.00, -2059.00)
  (4955.00, -2056.00)
  (5024.00, -2042.00)
  (5021.00, -2034.00)
  (5030.00, -2009.00)
  (5059.00, -1969.00)
  (5087.00, -1947.00)
  (5120.00, -1916.00)
  (5149.00, -1859.00)
  (5146.00, -1835.00)
  (5145.00, -1805.00)
  (5154.00, -1778.00)
  (5162.00, -1781.00)
  (5177.00, -1794.00)
  (5192.00, -1818.00)
  (5193.00, -1828.00)
  (5196.00, -1862.00)
  (5201.00, -1915.00)
  (5204.00, -1938.00)
  (5203.00, -1974.00)
  (5193.00, -2013.00)
  (5183.00, -2016.00)
  (5171.00, -2016.00)
  (5164.00, -2003.00)
  (5170.00, -1987.00)
  (5175.00, -1971.00)
  (5159.00, -1968.00)
  (5121.00, -1994.00)
  (5088.00, -2032.00)
  (5103.00, -2070.00)
  (5147.00, -2070.00)
  (5191.00, -2070.00)
  (5242.00, -2009.00)
  (5245.00, -1975.00)
  (5251.00, -1898.00)
  (5257.00, -1801.00)
  (5257.00, -1779.00)
  (5266.00, -1734.00)
  (5291.00, -1670.00)
  (5305.00, -1654.00)
  (5333.00, -1612.00)
  (5364.00, -1556.00)
  (5370.00, -1525.00)
  (5379.00, -1488.00)
  (5408.00, -1416.00)
  (5416.00, -1402.00)
  (5426.00, -1376.00)
  (5431.00, -1348.00)
  (5425.00, -1346.00)
  (5415.00, -1338.00)
  (5405.00, -1324.00)
  (5405.00, -1318.00)
  (5412.00, -1310.00)
  (5427.00, -1306.00)
  (5437.00, -1309.00)
  (5457.00, -1304.00)
  (5488.00, -1279.00)
  (5498.00, -1260.00)
  (5519.00, -1231.00)
  (5549.00, -1206.00)
  (5589.00, -1221.00)
  (5565.00, -1107.00)
  (5490.00, -955.00)
  (5468.00, -939.00)
  (5437.00, -908.00)
  (5406.00, -856.00)
  (5406.00, -830.00)
  (5401.00, -799.00)
  (5362.00, -759.00)
  (5341.00, -754.00)
  (5297.00, -737.00)
  (5245.00, -711.00)
  (5211.00, -669.00)
  (5146.00, -622.00)
  (4945.00, -588.00)
  (4805.00, -602.00)
  (4463.00, -609.00)
  (4077.00, -596.00)
  (4057.00, -587.00)
  (4031.00, -578.00)
  (4001.00, -579.00)
  (3999.00, -585.00)
  (3990.00, -597.00)
  (3975.00, -609.00)
  (3958.00, -609.00)
  (3891.00, -561.00)
  (3824.00, -497.00)
  (3824.00, -490.00)
  (3816.00, -469.00)
  (3797.00, -439.00)
  (3773.00, -417.00)
  (3751.00, -355.00)
  (3759.00, -246.00)
  (3777.00, -217.00)
  (3797.00, -176.00)
  (3809.00, -125.00)
  (3801.00, -116.00)
  (3790.00, -64.00)
  (3781.00, 59.00)
  (3783.00, 118.00)
  (3782.00, 234.00)
  (3776.00, 360.00)
  (3771.00, 371.00)
  (3767.00, 388.00)
  (3770.00, 405.00)
  (3795.00, 405.00)
  (3833.00, 342.00)
  (3861.00, 200.00)
  (3852.00, 134.00)
  (3844.00, 53.00)
  (3852.00, -61.00)
  (3864.00, -87.00)
  (3878.00, -126.00)
  (3884.00, -168.00)
  (3878.00, -170.00)
  (3867.00, -179.00)
  (3856.00, -196.00)
  (3856.00, -203.00)
  (3849.00, -221.00)
  (3834.00, -246.00)
  (3814.00, -262.00)
  (3795.00, -300.00)
  (3798.00, -381.00)
  (3827.00, -437.00)
  (3888.00, -524.00)
  (3960.00, -593.00)
  (3967.00, -581.00)
  (3982.00, -569.00)
  (4024.00, -566.00)
  (4080.00, -586.00)
  (4315.00, -612.00)
  (4681.00, -625.00)
  (4825.00, -611.00)
  (5006.00, -602.00)
  (5233.00, -633.00)
  (5262.00, -658.00)
  (5299.00, -686.00)
  (5354.00, -705.00)
  (5379.00, -692.00)
  (5419.00, -686.00)
  (5459.00, -706.00)
  (5459.00, -716.00)
  (5465.00, -737.00)
  (5478.00, -760.00)
  (5487.00, -764.00)
  (5495.00, -772.00)
  (5492.00, -788.00)
  (5479.00, -798.00)
  (5470.00, -814.00)
  (5491.00, -858.00)
  (5511.00, -875.00)
  (5560.00, -929.00)
  (5625.00, -1011.00)
  (5652.00, -1057.00)
  (5681.00, -1115.00)
  (5710.00, -1265.00)
  (5710.00, -1328.00)
  (5701.00, -1470.00)
  (5678.00, -1685.00)
  (5665.00, -1748.00)
  (5640.00, -1875.00)
  (5612.00, -2017.00)
  (5606.00, -2045.00)
  (5600.00, -2073.00)
  (6576.00, -2101.00)
  (7559.00, -2101.00)
  (7552.00, -2033.00)
  (7509.00, -1592.00)
  (7450.00, -583.00)
  (7415.00, 714.00)
  (7421.00, 786.00)
  (7433.00, 1114.00)
  (7446.00, 1684.00)
  (7448.00, 1972.00)
  (7455.00, 2452.00)
  (7471.00, 3007.00)
  (7489.00, 3166.00)
  (7508.00, 3764.00)
  (7509.00, 4434.00)
  (7484.00, 4539.00)
  (7430.00, 4711.00)
  (7335.00, 4929.00)
  (7312.00, 4955.00)
  (7253.00, 5029.00)
  (7173.00, 5136.00)
  (7107.00, 5238.00)
  (6950.00, 5474.00)
  (6734.00, 5794.00)
