theta_L,theta_R,x,y
-98.99999999999949,43.20000000000141,-33.18582245525938,13.588734068165667
-98.99999999999949,45.00000000000142,-34.05702827923744,13.235557867631478
-98.99999999999949,46.80000000000143,-34.95394063881383,12.882215537516513
-98.99999999999949,48.600000000001444,-35.87725594791806,12.527736437132994
-98.99999999999949,50.400000000001455,-36.827591121532535,12.171076122677338
-97.19999999999948,18.00000000000125,-23.160514380299876,17.946427048482494
-97.19999999999948,19.800000000001262,-23.752069587950253,17.552377322094397
-97.19999999999948,21.600000000001273,-24.356431744172127,17.165111091245567
-97.19999999999948,23.400000000001285,-24.974686476567413,16.784663181124113
-97.19999999999948,25.200000000001296,-25.607938779236726,16.411010852041805
-97.19999999999948,27.000000000001307,-26.25730769137601,16.04407003705559
-97.19999999999948,28.80000000000132,-26.923920484251447,15.683691683221916
-97.19999999999948,30.60000000000133,-27.608906363150552,15.329658249134244
-97.19999999999948,32.40000000000134,-28.313389701032673,14.981680416441325
-97.19999999999948,34.20000000000135,-29.038482831750542,14.639394077369678
-97.19999999999948,36.000000000001364,-29.78527844267428,14.30235766360282
-97.19999999999948,37.800000000001376,-30.554841619027385,13.970049883917225
-97.19999999999948,39.60000000000139,-31.34820160487938,13.64186793847044
-97.19999999999948,41.4000000000014,-32.16634335809459,13.317126276328318
-97.19999999999948,43.20000000000141,-33.01019898813223,12.99505595950763
-97.19999999999948,45.00000000000142,-33.8806391759061,12.674804691359352
-97.19999999999948,46.80000000000143,-34.77846468342227,12.355437559473643
-97.19999999999948,48.600000000001444,-35.70439806711752,12.035938533498715
-97.19999999999948,50.400000000001455,-36.65907571227818,11.715212746487035
-97.19999999999948,52.20000000000147,-37.6430403062758,11.392089574884753
-97.19999999999948,54.00000000000148,-38.65673386538617,11.065326517443703
-95.39999999999947,18.00000000000125,-23.138726798044406,17.025041635990444
-95.39999999999947,19.800000000001262,-23.71154463305501,16.6469342044565
-95.39999999999947,21.600000000001273,-24.29810550833083,16.276817678425353
-95.39999999999947,23.400000000001285,-24.89955569358433,15.914747596646666
-95.39999999999947,25.200000000001296,-25.517062288823194,15.560719149668724
-95.39999999999947,27.000000000001307,-26.151807461350987,15.21466298259367
-95.39999999999947,28.80000000000132,-26.804982130560703,14.876441098474226
-95.39999999999947,30.60000000000133,-27.477779109002977,14.545842923329907
-95.39999999999947,32.40000000000134,-28.171385720306283,14.22258159993008
-95.39999999999947,34.20000000000135,-28.886975927837668,13.906290582776906
-95.39999999999947,36.000000000001364,-29.625702022233398,13.59652061076936
-95.39999999999947,37.800000000001376,-30.388685930720992,13.292737136481652
-95.39999999999947,39.60000000000139,-31.177010226019878,12.994318291494913
-95.39999999999947,41.4000000000014,-31.99170892699224,12.700553465474558
-95.39999999999947,43.20000000000141,-32.833758196499645,12.410642572435934
