theta_L,theta_R,x,y
0.0,280.8,-18.11432172323537,31.24371384533717
0.0,282.6,-18.598023576455013,30.16978881694537
0.0,284.40000000000003,-19.08565873774309,29.074029639575862
0.0,286.2,-19.576514584562556,27.954238610077994
0.0,288.0,-20.0699499251662,26.80800726681988
0.0,289.8,-20.565402987952016,25.63265954830793
0.0,291.6,-21.062402525171223,24.42517964482614
0.0,293.40000000000003,-21.5605831270696,23.182118974654163
0.0,295.2,-22.05970637324705,21.899474191902836
0.0,297.0,-22.559690284568642,20.572524192036337
0.0,298.8,-23.060650896592804,19.19560775174996
0.0,300.6,-23.5629620523965,17.761812939707195
0.0,302.40000000000003,-24.067343477736564,16.26253135261787
0.0,304.2,-24.574994414928952,14.686797706546704
0.0,306.0,-25.0878039102095,13.0202737179768
0.0,307.8,-25.608697015831087,11.243611099475505
0.0,309.6,-26.142238134378772,9.329658615584101
0.0,311.40000000000003,-26.695762876005155,7.238331882865275
0.0,313.2,-27.281722834911143,4.906207906454828
0.0,315.0,-27.923283521181986,2.2222103046710657
0.0,316.8,-28.671047889632646,-1.0434349947922055
0.0,318.6,-29.68042228180902,-5.559955519332201
1.8,39.6,-33.26416485785144,22.43746291214729
1.8,41.4,-35.39087706444165,29.32170616630748
1.8,43.2,-37.12025791932288,34.05309599054603
1.8,45.0,-38.74856919317146,37.986729052202314
1.8,46.800000000000004,-40.3449285772473,41.4612503088185
1.8,48.6,-41.937009430450615,44.622946811293964
1.8,50.4,-43.53826768180178,47.55014039239905
1.8,52.2,-45.15583810551168,50.29015876351398
1.8,54.0,-46.79358201100401,52.87394079424257
1.8,55.800000000000004,-48.453480732995644,55.322867243086314
1.8,57.6,-50.13635011573304,57.65234163818167
1.8,59.4,-51.8422387381282,59.87383014064382
1.8,61.2,-53.57066450704622,61.996099801753196
1.8,63.0,-55.320762519459194,64.02600904614744
1.8,64.8,-57.09138135157454,65.96903343807028
1.8,66.60000000000001,-58.881147933172954,67.82962753893042
1.8,68.4,-60.688512515380324,69.61148128941527
1.8,70.2,-62.51178058687944,71.31770627063182
1.8,72.0,-64.34913597049926,72.95097402917008
1.8,73.8,-66.19865779311158,74.51362083105495
1.8,75.60000000000001,-68.05833308687353,76.00772840392354
1.8,77.4,-69.92606619427805,77.43518718363589
1.8,79.2,-71.79968577247548,78.79774660287573
1.8,81.0,-73.6769499434335,80.09705564217522
1.8,82.8,-75.55554996825492,81.33469596834757
1.8,84.60000000000001,-77.43311270761049,82.51220936480269
1.8,86.4,-79.30720204788605,83.63112072063677
1.8,88.2,-81.17531941293512,84.69295753173105
1.8,90.0,-83.03490343688891,85.69926663875043
1.8,91.8,-84.88332883942891,86.651628758125
1.8,93.60000000000001,-86.71790451798503,87.5516712353202
1.8,95.4,-88.53587084923531,88.40107935283518
1.8,97.2,-90.33439617349119,89.20160644986963
1.8,99.0,-92.11057241896626,89.95508305032158
1.8,100.8,-93.86140980778552,90.66342514618832
1.8,102.60000000000001,-95.58383057138124,91.32864174110072
1.8,104.4,-97.27466158931912,91.95284172092094
1.8,106.2,-98.93062585245042,92.53824008283763
1.8,108.0,-100.54833263860257,93.08716351926458
1.8,109.8,-102.124266276995,93.60205531629431
1.8,111.60000000000001,-103.65477336659973,94.08547948673618
1.8,113.4,-105.1360483044249,94.54012401308717
1.8,115.2,-106.56411697319788,94.96880302424582
1.8,117.0,-107.93481843561364,95.37445766931371
1.8,118.8,-109.24378448624307,95.76015538015741
1.8,120.60000000000001,-110.48641692517248,96.12908712902532
1.8,122.4,-111.6578624432849,96.48456218571778
1.8,124.2,-112.75298505290382,96.8299997577505
1.8,126.0,-113.76633606605918,97.16891675380154
1.8,127.8,-114.6921217247473,97.50491074295176
1.8,129.6,-115.52416873465353,97.84163698803133
1.8,131.4,-116.2558881603939,98.18277821044786
1.8,133.20000000000002,-116.88023842451717,98.53200549844345
1.8,135.0,-117.38968853635653,98.89292850720798
1.8,136.8,-117.77618318640731,99.2690328305041
1.8,138.6,-118.03111200670712,99.6636021718178
1.8,140.4,-118.14528614884568,100.07962274457007
1.8,142.20000000000002,-118.10892639794267,100.51966724045191
1.8,144.0,-117.91166834400167,100.9857558021327
1.8,145.8,-117.54259167323909,101.47919183217098
1.8,147.6,-116.99028238769043,102.00037131079954
1.8,149.4,-116.2429386192325,102.54856576567562
1.8,151.20000000000002,-115.28853249187078,103.12168135151468
1.8,153.0,-114.11504189413739,103.71599988056708
1.8,154.8,-112.71076657652782,104.325912284085
1.8,156.6,-111.064742019157,104.94366095492161
1.8,158.4,-109.1672611676024,105.55911456700929
1.8,160.20000000000002,-107.0105074405468,106.15960675093577
1.8,162.0,-104.58929146449147,106.72987734039444
1.8,163.8,-101.9018682639278,107.25216003586866
1.8,165.6,-98.95079145261994,107.70646085067622
1.8,167.4,-95.74373804607752,108.07106483300984
1.8,169.20000000000002,-92.2942153922437,108.32329181434915
1.8,171.0,-88.6220458166108,108.44049419162448
1.8,172.8,-84.75352148769636,108.4012524841408
1.8,174.6,-80.72113781946669,108.18668265852102
1.8,176.4,-76.56285158761821,107.78173157906014
1.8,178.20000000000002,-72.32086760024315,107.17631398830842
1.8,180.0,-68.04002636527345,106.36614556067532
1.8,181.8,-63.76593041943776,105.35315624352167
1.8,183.6,-59.5429928790104,104.14542301074181
1.8,185.4,-55.41260608826911,102.75663017690438
1.8,187.20000000000002,-51.41160696773904,101.20513273371799
1.8,189.0,-47.571164601023156,99.5127484894687
1.8,190.8,-43.916148135850264,97.7034283677397
1.8,192.6,-40.464965304602536,95.80194941383411
1.8,194.4,-37.22980736728303,93.83274764038126
1.8,196.20000000000002,-34.21720270212502,91.81896787098455
1.8,198.0,-31.428769676838826,89.78176571969995
1.8,199.8,-28.862065856147673,87.73986082109003
1.8,201.6,-26.511448598818316,85.70931472433652
1.8,203.4,-24.368885126545585,83.70349232315058
1.8,205.20000000000002,-22.424673063827267,81.73316075243824
1.8,207.0,-20.668052053910383,79.80668165502648
1.8,208.8,-19.08770194799275,77.93025879751684
1.8,210.6,-17.672133144267647,76.1082108557355
1.8,212.4,-16.40998057682887,74.34324715414138
1.8,214.20000000000002,-15.290215586916293,72.63673125793544
1.8,216.0,-14.302290428925133,70.98892313761604
1.8,217.8,-13.436229307224643,69.39919506577681
1.8,219.6,-12.682678245466512,67.86621958296874
1.8,221.4,-12.032924202120508,66.38812999557588
1.8,223.20000000000002,-11.47889194702545,64.96265517865284
1.8,225.0,-11.01312546468344,63.58723116807406
1.8,226.8,-10.628759127538284,62.25909232157835
1.8,228.6,-10.31948260933254,60.97534485022238
1.8,230.4,-10.079502476029443,59.73302537648403
1.8,232.20000000000002,-9.903502574628398,58.52914693799768
1.8,234.0,-9.786604706917563,57.36073457762563
1.8,235.8,-9.724330593525554,56.22485237414037
1.8,237.6,-9.712565773736843,55.11862349308048
1.8,239.4,-9.747525822445104,54.03924458528341
1.8,241.20000000000002,-9.825725075610569,52.983995636168316
1.8,243.0,-9.943947921993582,51.95024617324298
1.8,244.8,-10.099222627715267,50.93545857148462
1.8,246.6,-10.288797600371751,49.93718905387702
1.8,248.4,-10.51011996255843,48.95308686457994
1.8,250.20000000000002,-10.760816284324553,47.98089199188852
1.8,252.0,-11.038675315463273,47.018431734298346
