type,x,y
path,5257.0,-1801.0
path,5257.0,-1779.0
path,5266.0,-1734.0
path,5291.0,-1670.0
path,5305.0,-1654.0
path,5333.0,-1612.0
path,5364.0,-1556.0
path,5370.0,-1525.0
path,5379.0,-1488.0
path,5408.0,-1416.0
path,5416.0,-1402.0
path,5426.0,-1376.0
path,5431.0,-1348.0
path,5425.0,-1346.0
path,5415.0,-1338.0
path,5405.0,-1324.0
path,5405.0,-1318.0
path,5412.0,-1310.0
path,5427.0,-1306.0
path,5437.0,-1309.0
path,5457.0,-1304.0
path,5488.0,-1279.0
path,5498.0,-1260.0
path,5519.0,-1231.0
path,5549.0,-1206.0
path,5589.0,-1221.0
path,5565.0,-1107.0
path,5490.0,-955.0
path,5468.0,-939.0
path,5437.0,-908.0
path,5406.0,-856.0
path,5406.0,-830.0
path,5401.0,-799.0
path,5362.0,-759.0
path,5341.0,-754.0
path,5297.0,-737.0
path,5245.0,-711.0
path,5211.0,-669.0
path,5146.0,-622.0
path,4945.0,-588.0
path,4805.0,-602.0
path,4463.0,-609.0
path,4077.0,-596.0
path,4057.0,-587.0
path,4031.0,-578.0
path,4001.0,-579.0
path,3999.0,-585.0
path,3990.0,-597.0
path,3975.0,-609.0
path,3958.0,-609.0
path,3891.0,-561.0
path,3824.0,-497.0
path,3824.0,-490.0
path,3816.0,-469.0
path,3797.0,-439.0
path,3773.0,-417.0
path,3751.0,-355.0
path,3759.0,-246.0
path,3777.0,-217.0
path,3797.0,-176.0
path,3809.0,-125.0
path,3801.0,-116.0
path,3790.0,-64.0
path,3781.0,59.0
path,3783.0,118.0
path,3782.0,234.0
path,3776.0,360.0
path,3771.0,371.0
path,3767.0,388.0
path,3770.0,405.0
path,3795.0,405.0
path,3833.0,342.0
path,3861.0,200.0
path,3852.0,134.0
path,3844.0,53.0
path,3852.0,-61.0
path,3864.0,-87.0
path,3878.0,-126.0
path,3884.0,-168.0
path,3878.0,-170.0
path,3867.0,-179.0
path,3856.0,-196.0
path,3856.0,-203.0
path,3849.0,-221.0
path,3834.0,-246.0
path,3814.0,-262.0
path,3795.0,-300.0
path,3798.0,-381.0
path,3827.0,-437.0
path,3888.0,-524.0
path,3960.0,-593.0
path,3967.0,-581.0
path,3982.0,-569.0
path,4024.0,-566.0
path,4080.0,-586.0
path,4315.0,-612.0
path,4681.0,-625.0
path,4825.0,-611.0
path,5006.0,-602.0
path,5233.0,-633.0
path,5262.0,-658.0
path,5299.0,-686.0
path,5354.0,-705.0
path,5379.0,-692.0
path,5419.0,-686.0
path,5459.0,-706.0
path,5459.0,-716.0
path,5465.0,-737.0
path,5478.0,-760.0
path,5487.0,-764.0
path,5495.0,-772.0
path,5492.0,-788.0
path,5479.0,-798.0
path,5470.0,-814.0
path,5491.0,-858.0
path,5511.0,-875.0
path,5560.0,-929.0
path,5625.0,-1011.0
path,5652.0,-1057.0
path,5681.0,-1115.0
path,5710.0,-1265.0
path,5710.0,-1328.0
path,5701.0,-1470.0
path,5678.0,-1685.0
path,5665.0,-1748.0
path,5640.0,-1875.0
path,5612.0,-2017.0
path,5606.0,-2045.0
path,5600.0,-2073.0
path,6576.0,-2101.0
path,7559.0,-2101.0
path,7552.0,-2033.0
path,7509.0,-1592.0
path,7450.0,-583.0
path,7415.0,714.0
path,7421.0,786.0
path,7433.0,1114.0
path,7446.0,1684.0
path,7448.0,1972.0
path,7455.0,2452.0
path,7471.0,3007.0
path,7489.0,3166.0
path,7508.0,3764.0
path,7509.0,4434.0
path,7484.0,4539.0
path,7430.0,4711.0
path,7335.0,4929.0
path,7312.0,4955.0
path,7253.0,5029.0
path,7173.0,5136.0
path,7107.0,5238.0
path,6950.0,5474.0
path,6734.0,5794.0
path,6681.0,5870.0
path,6556.0,6092.0
path,6388.0,6437.0
path,6377.0,6467.0
path,6336.0,6585.0
path,6269.0,6780.0
path,6243.0,6857.0
path,6185.0,7020.0
path,6115.0,7210.0
path,6102.0,7238.0
path,6075.0,7299.0
path,6044.0,7374.0
path,6040.0,7388.0
path,6014.0,7441.0
path,5964.0,7527.0
path,5940.0,7561.0
path,5896.0,7625.0
path,5852.0,7693.0
path,5852.0,7696.0
path,5831.0,7729.0
path,5784.0,7795.0
path,5704.0,7897.0
path,5619.0,8012.0
path,5541.0,8211.0
path,5550.0,8319.0
path,5603.0,8484.0
path,5755.0,8681.0
path,5815.0,8700.0
path,5879.0,8725.0
path,5931.0,8812.0
path,5917.0,8888.0
path,5921.0,9044.0
path,5965.0,9237.0
path,6083.0,9346.0
path,6333.0,9424.0
path,6791.0,9316.0
path,6833.0,9279.0
path,6912.0,9211.0
path,6995.0,9143.0
path,7014.0,9143.0
path,7015.0,9206.0
path,6983.0,9317.0
path,6838.0,9533.0
path,6614.0,9876.0
path,6355.0,10297.0
path,6340.0,10331.0
path,6286.0,10442.0
path,6200.0,10613.0
path,6065.0,10866.0
path,5890.0,11196.0
path,5650.0,11658.0
path,5587.0,11788.0
path,5519.0,11932.0
path,5456.0,12121.0
path,5465.0,12202.0
path,5533.0,12328.0
path,5699.0,12454.0
path,5773.0,12454.0
path,5882.0,12435.0
path,6037.0,12351.0
path,6059.0,12320.0
path,6121.0,12235.0
path,6209.0,12116.0
path,6236.0,12082.0
path,6296.0,12000.0
path,6371.0,11893.0
path,6416.0,11815.0
path,6530.0,11632.0
path,6689.0,11389.0
path,6757.0,11300.0
path,6866.0,11140.0
path,7128.0,10678.0
path,7206.0,10524.0
path,7356.0,10233.0
path,7516.0,9929.0
path,7534.0,9906.0
path,7552.0,9883.0
path,7609.0,9880.0
path,7678.0,9915.0
path,7755.0,9966.0
path,7824.0,10095.0
path,7820.0,10133.0
path,7818.0,10263.0
path,7824.0,10475.0
path,7836.0,10616.0
path,7847.0,10770.0
path,7831.0,11141.0
path,7779.0,11556.0
path,7734.0,12156.0
path,7760.0,12807.0
path,7827.0,12854.0
path,7986.0,12898.0
path,8197.0,12889.0
path,8236.0,12851.0
path,8322.0,12640.0
path,8451.0,12173.0
path,8457.0,12140.0
path,8481.0,12029.0
path,8521.0,11856.0
path,8544.0,11770.0
path,8576.0,11622.0
path,8615.0,11352.0
path,8628.0,11143.0
path,8655.0,10773.0
path,8696.0,10328.0
path,8730.0,10136.0
path,8769.0,9910.0
path,8808.0,9646.0
path,8808.0,9623.0
path,8824.0,9510.0
path,8860.0,9310.0
path,8894.0,9163.0
path,8931.0,8991.0
path,8971.0,8633.0
path,8975.0,8437.0
path,8986.0,8178.0
path,9027.0,7798.0
path,9048.0,7715.0
path,9079.0,7520.0
path,9101.0,7293.0
path,9097.0,7277.0
path,9093.0,7249.0
path,9093.0,7221.0
path,9101.0,7221.0
path,9107.0,7164.0
path,9100.0,6914.0
path,9095.0,6845.0
path,9090.0,6704.0
path,9090.0,6544.0
path,9094.0,6525.0
path,9107.0,6468.0
path,9126.0,6383.0
path,9132.0,6356.0
path,9147.0,6288.0
path,9168.0,6198.0
path,9173.0,6176.0
path,9184.0,5936.0
path,9198.0,5451.0
path,9200.0,5206.0
path,9206.0,4748.0
path,9215.0,4273.0
path,9230.0,4196.0
path,9266.0,3827.0
path,9298.0,3380.0
path,9296.0,3332.0
path,9296.0,3241.0
path,9301.0,3145.0
path,9305.0,3141.0
path,9315.0,3119.0
path,9328.0,3081.0
path,9340.0,2990.0
path,9367.0,2825.0
path,9408.0,2611.0
path,9416.0,2581.0
path,9438.0,2494.0
path,9467.0,2368.0
path,9474.0,2330.0
path,9496.0,2240.0
path,9530.0,2125.0
path,9571.0,2043.0
path,9632.0,1890.0
path,9718.0,1596.0
path,9755.0,1381.0
path,9799.0,1091.0
path,9854.0,536.0
path,9865.0,263.0
path,9891.0,-184.0
path,9931.0,-670.0
path,9937.0,-684.0
path,9947.0,-729.0
path,9957.0,-799.0
path,9957.0,-843.0
path,9957.0,-887.0
path,10130.0,-931.0
path,10304.0,-931.0
path,10326.0,-840.0
path,10344.0,-765.0
path,10373.0,-665.0
path,10432.0,-531.0
path,10452.0,-508.0
path,10497.0,-442.0
path,10553.0,-348.0
path,10563.0,-319.0
path,10600.0,-241.0
path,10660.0,-132.0
path,10683.0,-101.0
path,10736.0,-26.0
path,10802.0,71.0
path,10815.0,93.0
path,10868.0,163.0
path,10956.0,270.0
path,11020.0,336.0
path,11084.0,402.0
path,11260.0,463.0
path,11323.0,460.0
path,11448.0,457.0
path,11588.0,458.0
path,11614.0,465.0
path,11641.0,472.0
path,11662.0,551.0
path,11652.0,685.0
path,11636.0,862.0
path,11610.0,1039.0
path,11596.0,1039.0
path,11585.0,1067.0
path,11589.0,1100.0
path,11598.0,1104.0
path,11607.0,1112.0
path,11605.0,1128.0
path,11592.0,1136.0
path,11580.0,1150.0
path,11583.0,1194.0
path,11599.0,1223.0
path,11617.0,1274.0
path,11631.0,1424.0
path,11629.0,1488.0
path,11627.0,1605.0
path,11628.0,1722.0
path,11631.0,1722.0
path,11638.0,1734.0
path,11646.0,1762.0
path,11649.0,1821.0
path,11674.0,2073.0
path,11712.0,2415.0
path,11720.0,2467.0
path,11741.0,2617.0
path,11770.0,2835.0
path,11783.0,2951.0
path,11802.0,3093.0
path,11833.0,3224.0
path,11838.0,3218.0
path,11820.0,3003.0
path,11780.0,2644.0
path,11735.0,2343.0
path,11674.0,1687.0
path,11635.0,822.0
path,11643.0,740.0
path,11662.0,534.0
path,11686.0,259.0
path,11697.0,108.0
path,11726.0,-274.0
path,11762.0,-741.0
path,11768.0,-804.0
path,11774.0,-867.0
path,11917.0,-930.0
path,12055.0,-930.0
path,12193.0,-930.0
path,12337.0,-897.0
path,12342.0,-867.0
path,12393.0,-709.0
path,12489.0,-442.0
path,12621.0,-124.0
path,13019.0,962.0
path,13440.0,2182.0
path,13446.0,2218.0
path,13475.0,2344.0
path,13525.0,2544.0
path,13546.0,2618.0
path,13600.0,2825.0
path,13674.0,3120.0
path,13694.0,3208.0
path,13737.0,3388.0
path,13788.0,3593.0
path,13802.0,3640.0
path,13838.0,3797.0
path,13918.0,4197.0
path,13932.0,4277.0
